"plate","wellType","row","column","intensity"
"plate01","Weak Positive Control",1,1,1.09235550143967
"plate01","Strong Positive Control",1,2,0.591711827637437
"plate01","Test siRNAs",1,3,1.64007463024635
"plate01","Test siRNAs",1,4,1.71966354267882
"plate01","Test siRNAs",1,5,1.2136852242026
"plate01","Test siRNAs",1,6,1.55073927038737
"plate01","Test siRNAs",1,7,1.39916706353991
"plate01","Test siRNAs",1,8,1.62191044182398
"plate01","Test siRNAs",1,9,1.94484499862238
"plate01","Test siRNAs",1,10,1.42009927944141
"plate01","Test siRNAs",1,11,1.87238117437395
"plate01","Test siRNAs",1,12,1.77244611661901
"plate01","Test siRNAs",1,13,1.55526501731858
"plate01","Test siRNAs",1,14,1.89852599543279
"plate01","Test siRNAs",1,15,1.60477146818405
"plate01","Test siRNAs",1,16,1.62975043208364
"plate01","Test siRNAs",1,17,1.74169906604476
"plate01","Test siRNAs",1,18,1.64256040496123
"plate01","Test siRNAs",1,19,1.25469287320849
"plate01","Test siRNAs",1,20,1.41079549638488
"plate01","Test siRNAs",1,21,1.46706620315368
"plate01","Test siRNAs",1,22,1.19697450245534
"plate01","Strong Positive Control",1,23,0.697716559521623
"plate01","MISC1",1,24,2.13235782470086
"plate01","Weak Positive Control",2,1,0.787159072360752
"plate01","Strong Positive Control",2,2,0.608288396038179
"plate01","Test siRNAs",2,3,1.62931369044083
"plate01","Test siRNAs",2,4,1.66913919975672
"plate01","Test siRNAs",2,5,1.86378861816941
"plate01","Test siRNAs",2,6,1.78770709958287
"plate01","Test siRNAs",2,7,1.67886862089684
"plate01","Test siRNAs",2,8,1.69034353892342
"plate01","Test siRNAs",2,9,1.5216104314535
"plate01","Test siRNAs",2,10,1.57994520005146
"plate01","Test siRNAs",2,11,1.49817602329644
"plate01","Test siRNAs",2,12,1.95332232461504
"plate01","Test siRNAs",2,13,1.75752660272289
"plate01","Test siRNAs",2,14,1.77584524181756
"plate01","Test siRNAs",2,15,1.28229161280164
"plate01","Test siRNAs",2,16,1.68458905773072
"plate01","Test siRNAs",2,17,1.30145943946961
"plate01","Test siRNAs",2,18,2.09941330561319
"plate01","Test siRNAs",2,19,1.77954800553944
"plate01","Test siRNAs",2,20,1.72220280047444
"plate01","Test siRNAs",2,21,1.58686652004393
"plate01","Test siRNAs",2,22,1.62064050321402
"plate01","Strong Positive Control",2,23,0.690474331245386
"plate01","MISC1",2,24,2.12280059526711
"plate01","Weak Positive Control",3,1,0.921848194802538
"plate01","Strong Positive Control",3,2,0.832852985781789
"plate01","Test siRNAs",3,3,1.8905689015238
"plate01","Test siRNAs",3,4,1.63446804891344
"plate01","Test siRNAs",3,5,1.89745705219318
"plate01","Test siRNAs",3,6,1.5887723205237
"plate01","Test siRNAs",3,7,1.85199899638368
"plate01","Test siRNAs",3,8,1.91750866480221
"plate01","Test siRNAs",3,9,1.48735990193963
"plate01","Test siRNAs",3,10,1.98432155578252
"plate01","Test siRNAs",3,11,2.07243164606535
"plate01","Test siRNAs",3,12,1.66622929790662
"plate01","Test siRNAs",3,13,1.69999082160252
"plate01","Test siRNAs",3,14,1.46964151873489
"plate01","Test siRNAs",3,15,2.00122349927683
"plate01","Test siRNAs",3,16,1.54474875009283
"plate01","Test siRNAs",3,17,1.65947990732545
"plate01","Test siRNAs",3,18,1.60493941498418
"plate01","Test siRNAs",3,19,1.77340188797808
"plate01","Test siRNAs",3,20,1.48674888256204
"plate01","Test siRNAs",3,21,1.9821851576359
"plate01","Test siRNAs",3,22,1.53769457153315
"plate01","Strong Positive Control",3,23,0.656283620559216
"plate01","MISC1",3,24,2.15511770258342
"plate01","Weak Positive Control",4,1,0.904790639458
"plate01","Strong Positive Control",4,2,0.862062621182
"plate01","Test siRNAs",4,3,2.06222643215835
"plate01","Test siRNAs",4,4,1.7570871313521
"plate01","Test siRNAs",4,5,1.88477375166568
"plate01","Test siRNAs",4,6,1.93671706330186
"plate01","Test siRNAs",4,7,2.01843561269395
"plate01","Test siRNAs",4,8,1.77767779426242
"plate01","Test siRNAs",4,9,1.82251423141959
"plate01","Test siRNAs",4,10,1.98505463465521
"plate01","Test siRNAs",4,11,1.90131469850302
"plate01","Test siRNAs",4,12,1.9964574905843
"plate01","Test siRNAs",4,13,2.0645817511525
"plate01","Test siRNAs",4,14,1.90168719207742
"plate01","Test siRNAs",4,15,1.65358476927761
"plate01","Test siRNAs",4,16,1.94282248666556
"plate01","Test siRNAs",4,17,1.52303260035603
"plate01","Test siRNAs",4,18,1.8290364610275
"plate01","Test siRNAs",4,19,1.40717578390255
"plate01","Test siRNAs",4,20,1.7472758233084
"plate01","Test siRNAs",4,21,1.535172247546
"plate01","Test siRNAs",4,22,1.88034399682946
