"plate","wellType","row","column","intensity"
"plate01","No Cell Control",1,1,-3.53067188393919
"plate01","Positive Control",1,2,-1.32340405829323
"plate01","MISC1",1,3,0.27754121137079
"plate01","MISC1",1,4,0.0854980195678751
"plate01","Test siRNAs",1,5,0.0721633844827508
"plate01","Test siRNAs",1,6,0.287332856779199
"plate01","Test siRNAs",1,7,0.224920212255392
"plate01","Test siRNAs",1,8,0.433285769549942
"plate01","Test siRNAs",1,9,0.324148210404868
"plate01","Test siRNAs",1,10,0.256243064581803
"plate01","Test siRNAs",1,11,0.272195309444976
"plate01","Test siRNAs",1,12,0.233518482969414
"plate01","Test siRNAs",1,13,-0.0026599942270451
"plate01","Test siRNAs",1,14,-0.0525916944844723
"plate01","Test siRNAs",1,15,-0.243230954260784
"plate01","Test siRNAs",1,16,-0.0664741738017509
"plate01","Test siRNAs",1,17,0.163297875639193
"plate01","Test siRNAs",1,18,-0.190555521108977
"plate01","Test siRNAs",1,19,0.0270690604431713
"plate01","Test siRNAs",1,20,-1.05182781752457
"plate01","Test siRNAs",1,21,0.0384011523312199
"plate01","Test siRNAs",1,22,0.0169730846838266
"plate01","Positive Control",1,23,-1.85247404358551
"plate01","MISC2",1,24,-2.02478476273743
"plate01","No Cell Control",2,1,-3.78953352380574
"plate01","Positive Control",2,2,-1.38848882477363
"plate01","MISC1",2,3,-0.0356377615733517
"plate01","MISC1",2,4,-0.0110140721036825
"plate01","Test siRNAs",2,5,-0.418681881901898
"plate01","Test siRNAs",2,6,-0.085440733077844
"plate01","Test siRNAs",2,7,0.259507402703021
"plate01","Test siRNAs",2,8,0.184816779898553
"plate01","Test siRNAs",2,9,-0.132358700434399
"plate01","Test siRNAs",2,10,0.0098801308955358
"plate01","Test siRNAs",2,11,0.0598663820617925
"plate01","Test siRNAs",2,12,-0.335262050101958
"plate01","Test siRNAs",2,13,0.174361370101564
"plate01","Test siRNAs",2,14,0.175379337362517
"plate01","Test siRNAs",2,15,0.163634986087385
"plate01","Test siRNAs",2,16,0.558719932717527
"plate01","Test siRNAs",2,17,0.258551757694759
"plate01","Test siRNAs",2,18,-0.076953226116055
"plate01","Test siRNAs",2,19,0.136967742194437
"plate01","Test siRNAs",2,20,0.450693967903922
"plate01","Test siRNAs",2,21,0.287649837928889
"plate01","Test siRNAs",2,22,0.157802303853526
"plate01","Positive Control",2,23,-1.41891653627585
"plate01","MISC2",2,24,-1.66916106805085
"plate01","No Cell Control",3,1,-3.19915965959986
"plate01","Positive Control",3,2,-1.40832058567137
"plate01","Test siRNAs",3,3,0.179906580295791
"plate01","Test siRNAs",3,4,-0.0172672114442007
